epoch,step,train_accuracy,train_loss,train_loss_0,valid_accuracy,valid_loss,valid_loss_0
0,5,,,,0.699999988079071,0.478744238615036,0.478744238615036
0,5,0.658823549747467,,0.6167281866073608,,,
1,11,,,,0.7833333611488342,0.41878992319107056,0.41878992319107056
1,11,0.8117647171020508,,0.42977070808410645,,,
2,17,,,,0.8833333253860474,0.3463341295719147,0.3463341295719147
2,17,0.841176450252533,,0.36808934807777405,,,
3,23,,,,0.9166666865348816,0.2854309380054474,0.2854309380054474
3,23,0.8558823466300964,,0.31837907433509827,,,
4,29,,,,0.9166666865348816,0.24118588864803314,0.24118588864803314
4,29,0.8676470518112183,,0.3275204002857208,,,
5,35,,,,0.9166666865348816,0.2702004313468933,0.2702004313468933
5,35,0.8911764621734619,,0.2845209836959839,,,
6,41,,,,0.8999999761581421,0.2727340757846832,0.2727340757846832
6,41,0.8441176414489746,,0.3708961606025696,,,
7,47,,,,0.9166666865348816,0.23492063581943512,0.23492063581943512
7,47,0.8735294342041016,,0.34038251638412476,,,
8,49,,0.23394794762134552,,,,
8,53,,,,0.9166666865348816,0.25238651037216187,0.25238651037216187
8,53,0.8764705657958984,,0.3107448220252991,,,
9,59,,,,0.9166666865348816,0.23461350798606873,0.23461350798606873
9,59,0.8941176533699036,,0.27083373069763184,,,
10,65,,,,0.8999999761581421,0.22413915395736694,0.22413915395736694
10,65,0.8882352709770203,,0.27075162529945374,,,
11,71,,,,0.8833333253860474,0.22431574761867523,0.22431574761867523
11,71,0.8852941393852234,,0.23870858550071716,,,
12,77,,,,0.9333333373069763,0.21236182749271393,0.21236182749271393
12,77,0.9058823585510254,,0.2257373183965683,,,
13,83,,,,0.9333333373069763,0.18566180765628815,0.18566180765628815
13,83,0.8911764621734619,,0.23587071895599365,,,
14,89,,,,0.8999999761581421,0.17286545038223267,0.17286545038223267
14,89,0.8941176533699036,,0.2337760478258133,,,
15,95,,,,0.8999999761581421,0.2002216875553131,0.2002216875553131
15,95,0.9323529601097107,,0.1809333860874176,,,
16,99,,0.11928877234458923,,,,
16,101,,,,0.9166666865348816,0.1717502325773239,0.1717502325773239
16,101,0.9205882549285889,,0.195590078830719,,,
17,107,,,,0.9166666865348816,0.1790570318698883,0.1790570318698883
17,107,0.929411768913269,,0.1753363162279129,,,
18,113,,,,0.9333333373069763,0.16808372735977173,0.16808372735977173
18,113,0.9235293865203857,,0.18768131732940674,,,
19,119,,,,0.949999988079071,0.14604422450065613,0.14604422450065613
19,119,0.9147058725357056,,0.23954711854457855,,,
20,125,,,,0.8999999761581421,0.16113662719726562,0.16113662719726562
20,125,0.9205882549285889,,0.19522222876548767,,,
21,131,,,,0.949999988079071,0.11616650223731995,0.11616650223731995
21,131,0.9264705777168274,,0.19068677723407745,,,
22,137,,,,0.9333333373069763,0.14406824111938477,0.14406824111938477
22,137,0.9323529601097107,,0.15168286859989166,,,
23,143,,,,0.9166666865348816,0.1696939319372177,0.1696939319372177
23,143,0.9117646813392639,,0.22545403242111206,,,
24,149,,0.138239786028862,,,,
24,149,,,,0.9166666865348816,0.19066447019577026,0.19066447019577026
24,149,0.929411768913269,,0.15689116716384888,,,
25,155,,,,0.8999999761581421,0.16770796477794647,0.16770796477794647
25,155,0.8999999761581421,,0.21219150722026825,,,
26,161,,,,0.9333333373069763,0.12938152253627777,0.12938152253627777
26,161,0.929411768913269,,0.15519797801971436,,,
27,167,,,,0.9333333373069763,0.11529120057821274,0.11529120057821274
27,167,0.9470587968826294,,0.12746690213680267,,,
28,173,,,,0.9166666865348816,0.124869205057621,0.124869205057621
28,173,0.9382352828979492,,0.15448114275932312,,,
29,179,,,,0.9166666865348816,0.13914988934993744,0.13914988934993744
29,179,0.9352940917015076,,0.15450096130371094,,,
30,185,,,,0.9166666865348816,0.1404995322227478,0.1404995322227478
30,185,0.9382352828979492,,0.13437515497207642,,,
31,191,,,,0.9166666865348816,0.12575596570968628,0.12575596570968628
31,191,0.9235293865203857,,0.1754363626241684,,,
