epoch,step,train_loss,train_mean_squared_error,valid_loss,valid_mean_squared_error
0,49,4.530208587646484,,,
0,53,,,4.94541597366333,4.94541597366333
0,53,,11.227349281311035,,
1,99,3.902592182159424,,,
1,107,,,5.000673294067383,5.000673294067383
1,107,,4.7627458572387695,,
2,149,4.841397285461426,,,
2,161,,,4.645403861999512,4.645403861999512
2,161,,4.667299747467041,,
3,199,1.9212130308151245,,,
3,215,,,0.951899528503418,0.951899528503418
3,215,,2.4947144985198975,,
4,249,0.6907616853713989,,,
4,269,,,0.5644087195396423,0.5644087195396423
4,269,,1.0524402856826782,,
5,299,0.46385324001312256,,,
5,323,,,0.40408140420913696,0.40408140420913696
5,323,,0.7806837558746338,,
6,349,0.6499578952789307,,,
6,377,,,0.3544546961784363,0.3544546961784363
6,377,,0.6685224175453186,,
7,399,0.4357123076915741,,,
7,431,,,0.39943811297416687,0.39943811297416687
7,431,,0.5561515688896179,,
8,449,0.5054150819778442,,,
8,485,,,0.4671805202960968,0.4671805202960968
8,485,,0.5727463960647583,,
9,499,0.49952781200408936,,,
9,539,,,0.637489378452301,0.637489378452301
9,539,,0.5495513677597046,,
10,549,0.40017926692962646,,,
10,593,,,0.3691788613796234,0.3691788613796234
10,593,,0.5248273015022278,,
11,599,0.39554107189178467,,,
11,647,,,0.32085394859313965,0.32085394859313965
11,647,,0.503528892993927,,
12,649,0.41404959559440613,,,
12,699,0.5329239368438721,,,
12,701,,,0.4330070912837982,0.4330070912837982
12,701,,0.4718446135520935,,
13,749,0.469312846660614,,,
13,755,,,0.3456307351589203,0.3456307351589203
13,755,,0.5220122337341309,,
14,799,0.36114975810050964,,,
14,809,,,0.3441707491874695,0.3441707491874695
14,809,,0.4178183972835541,,
15,849,0.31331393122673035,,,
15,863,,,0.5517288446426392,0.5517288446426392
15,863,,0.44822463393211365,,
16,899,0.5895130038261414,,,
16,917,,,0.7620224952697754,0.7620224952697754
16,917,,0.48613241314888,,
17,949,0.48429545760154724,,,
17,971,,,0.3479762375354767,0.3479762375354767
17,971,,0.5716784596443176,,
18,999,0.4980868101119995,,,
18,1025,,,0.30857568979263306,0.30857568979263306
18,1025,,0.4688810408115387,,
19,1049,0.4091561436653137,,,
19,1079,,,0.4977678060531616,0.4977678060531616
19,1079,,0.43799641728401184,,
20,1099,0.3937266170978546,,,
20,1133,,,0.33523645997047424,0.33523645997047424
20,1133,,0.5443963408470154,,
21,1149,0.503899097442627,,,
21,1187,,,0.3120095729827881,0.3120095729827881
21,1187,,0.47033846378326416,,
22,1199,0.30864769220352173,,,
22,1241,,,0.28515616059303284,0.28515616059303284
22,1241,,0.4787657558917999,,
23,1249,0.2519509196281433,,,
23,1295,,,0.3166702389717102,0.3166702389717102
23,1295,,0.4738446772098541,,
24,1299,0.39732223749160767,,,
24,1349,1.1632670164108276,,,
24,1349,,,0.3052241802215576,0.3052241802215576
24,1349,,0.42885735630989075,,
25,1399,0.45705199241638184,,,
25,1403,,,0.2667098343372345,0.2667098343372345
25,1403,,0.4206760823726654,,
26,1449,0.4497760832309723,,,
26,1457,,,0.26993292570114136,0.26993292570114136
26,1457,,0.3781215250492096,,
27,1499,0.2569621801376343,,,
27,1511,,,0.30030521750450134,0.30030521750450134
27,1511,,0.41747555136680603,,
28,1549,0.238753542304039,,,
28,1565,,,0.30915704369544983,0.30915704369544983
28,1565,,0.45963677763938904,,
29,1599,0.31242984533309937,,,
29,1619,,,0.338063508272171,0.338063508272171
29,1619,,0.41418540477752686,,
30,1649,0.298739492893219,,,
30,1673,,,0.2812842130661011,0.2812842130661011
30,1673,,0.43801653385162354,,
31,1699,0.3380330801010132,,,
31,1727,,,0.29697486758232117,0.29697486758232117
31,1727,,0.43527382612228394,,
32,1749,0.4859270751476288,,,
32,1781,,,0.28387951850891113,0.28387951850891113
32,1781,,0.43390530347824097,,
33,1799,0.2966357171535492,,,
33,1835,,,0.3365875482559204,0.3365875482559204
33,1835,,0.42415377497673035,,
34,1849,0.39254075288772583,,,
34,1889,,,0.2795296311378479,0.2795296311378479
34,1889,,0.42915263772010803,,
35,1899,0.46565037965774536,,,
35,1943,,,0.2682041823863983,0.2682041823863983
35,1943,,0.3975203335285187,,
